PortID,PortCode,PortName
176,INCDP4,Cuddapah
177,INCDP6,M/S APIIC LTD SEZ.
178,INCDQ6,QUARKCITY/SEZ/MOHALI
179,INCDR6,SUN PHARMACEUTICALS
180,INCEC6,L&T AE IT SEZ PVT.
181,INCGA6,MWCD APARELS CHENGPA
182,INCGE6,ETA TECH. PVT. LTD.
183,INCGI6,MWCD SEZ CHENGALPATU
184,INCGL6,MWCD AUTO ANCILARIES
185,INCHE6,Tiruppur-Chettipalay
186,INCHJ6,ICD WARDHA
187,INCHL1,Colachel
188,INCHMB,Chamurchi
189,INCHN6,Vadodara Chhani CFS
190,INCHPB,Champai
191,INCHR1,Chapora
192,INCJA6,L&T AE IT SEZ
193,INCJB4,Coimbatore
194,INCJB6,Coimbatore
195,INCJC6,NCTL (ENGG.) SEZ/ KA
196,INCJD6,DLF INFOCITY DEV.
197,INCJE6,ECTN KANCHEEPURAM
198,INCJF6,FTIL SRIPERUMBUDUR
199,INCJH6,ICD WARDHA
200,INCJI6,ETL IS LTD.
201,INCJJ6,J M FTZ/SEZ/MANNUR
202,INCJN6,NIPL SEZ SRIPERUMBUD
203,INCJO6,SIPCOT ORAGADAM SRIP
204,INCJS6,SIPCOT SRIPERUMBUDUR
205,INCLK6,KSITIL/SEZ/KOZHIKODE
206,INCLU6,ULCCS/SEZ/KOZHIKODE
207,INCLX6,Chirala
208,INCMB1,Cambay
209,INCML6,KATHUWAS ICD ALWAR
210,INCNB1,Car-Nicobar
211,INCNC6,NCT PVT. LTD. SEZ
212,INCNN1,Cannanore
213,INCOA6,KAKINADA SEZ KAKINAD
214,INCOH4,Cooch Behar
215,INCOK1,Cochin
216,INCOK4,Cochin
217,INCOK6,Cochin(EPZ/SEZ)
218,INCOL1,Colochel
219,INCOO1,Coondapur (Ganguly)
220,INCOP6,PARRY SEZ KAKINADA
221,INCPC6,Kanpur Chakeri
222,INCPL6,Dadri CGML
223,INCPR6,ICD CHAWAPAYAL
224,INCRL6,RGA SEZ CHIKKANKANNE
225,INCRN1,Cornwallis
226,INCRW6,WIPRO/SEZ/BANGALORE
227,INCRXB,LOKSAN LCS
228,INCSP6,SI PVT. LTD.
229,INCSV6,SPVL SEZ COIMBATORE
230,INCTI1,Chetlat Island
231,INCUM1,Cutch Mandvi
232,INDAE4,Daparizo
233,INDAH1,Dahej
234,INDAI4,Darjeeling
235,INDAM1,Daman
236,INDAM4,Daman
237,INDAR6,ARTHA SEZ GR. NOIDA
238,INDBD4,Dhanbad
239,INDBS6,SANTA-SEZ/ViII-MUPPI
240,INDDL6,PSWC ICD DHANDARIKAL
241,INDEA6,AS PVT. LTD.
242,INDED4,Dehra Dun
243,INDEF6,INFOSYS SEZ DADRI
244,INDEG1,Deogad
245,INDEH6,HCL TECH. LTD. DEV.
246,INDEI6,IVR SEZ NOIDA
247,INDEJ6,JUBILANT SEZ NOIDA
248,INDEL4,Delhi
249,INDEL5,Delhi
250,INDEM6,MOSERBAER/SEZ/NOIDA
251,INDEN6,M/S NIIT TECH. LTD.
252,INDEP4,Deparizo
253,INDER6,Dadri
254,INDES6,M/S SEAVIEW DEV. LTD
255,INDET6,UNITECH HITECH NOIDA
256,INDEU6,UNITECHINFRA NOIDA
257,INDEW6,M/S WIPRO LTD.
258,INDGI6,GALLANT SEZ NOIDA
259,INDGT6,GOLDEN SEZ NOIDA
260,INDHA6,Indore-Dhannad
261,INDHBB,Dhubri Steamerghat
262,INDHLB,Dhalaighat
263,INDHM4,Dharamsala
264,INDHN1,Dahanu
265,INDHP1,Dabhol Port
266,INDHR1,Dholera
267,INDHU1,Dahanu
268,INDIB4,Dibrugarh
269,INDID6,"SEZ, MIDC, NANDED"
270,INDIG1,Dighi Port
271,INDIG6,Dighi (Pune)
272,INDIT6,ANSAL IT/SEZ/NOIDA
273,INDIU1,Diu
274,INDIU4,Diu
275,INDIV1,Div
276,INDLAB,Dharchula
277,INDLH6,APLLP SEZ BENGALURU
278,INDLI2,Delhi Railway Statio
279,INDLOB,BIRPARA LCS
280,INDLUB,Dalu
281,INDMA1,DHAMRA
282,INDMRB,Demagir
283,INDMT1,Dharamtar
284,INDMU4,Dimapur
285,INDPC4,DPC BKC Mumbai
286,INDPR6,DAPPER
287,INDRC6,RCIPL SEZ NOIDA
288,INDRGB,Darranga
289,INDRK1,Dwarka (Rupen)
290,INDRL1,Dabolim
291,INDRU6,Belgaum Desur
292,INDSK1,Dhanu-shkodi
293,INDSM6,SMRTPL SEZ NOIDA
294,INDTW1,Dantiwara
295,INDUR6,ICD Durgapur
296,INDWA1,Dwarka
297,INDWKB,Dawki
298,INDWN6,ICD SAMALKHA PANIPAT
299,INDWR6,INFOSYS SEZ HUBLI
300,INENR1,KAMARAJAR PORT LTD
301,INERP6,PUTHUVYPEEN SEZ
302,INERV6,VALLARPADOM SEZ
303,INESH1,Elphinstone Harbour
304,INFBD6,ICD Faridabad
305,INFBE6,ESPIRE SEZ FARIDABAD
306,INFBM6,METRO SEZ GURGAON
307,INFBP6,PERPETUAL FARIDABAD
308,INFBRB,Fulbari LCS
309,INFBS6,SELECTOSEZ FARIDABAD
310,INFCH5,FPO(SEA) CHENNAI
311,INFLT6,Falta(SEZ)
312,INFMA6,APIICL MEDAK
313,INFMH6,HGSEZL RANGA REDDY
314,INFMJ6,"M/S J.T. SEZ, RANGAR"
315,INFMS6,"M/S STARGAZE, SEZ"
316,INGAIB,Gauriphanta
317,INGALB,Galgalia
318,INGAO6,OPGS POWER GUJARAT
319,INGAS6,ANSAL SEZ GURGAON
320,INGAU1,Gauhati (Panidi)
321,INGAU2,Gauhati (Panidi)
322,INGAU4,Gauhati (Panidi)
323,INGAU5,FPO GUWAHATI
324,INGAW2,Guwahati
325,INGAY4,Gaya
326,INGDL6,"DLF CYBERCITY SEZ,"
327,INGDM6,MF PARK PVT. LTD.
328,INGDP6,FLLPL SEZ THIRUVALUR
329,INGED2,Gede Railway Station
330,INGGA1,Gogha
331,INGGB6,SBPL SEZ GURGAON
332,INGGC6,ORIENT SEZ GURGAON
333,INGGD6,DLF LTD.
334,INGGE6,AEPL SEZ GURGAON
335,INGGF6,FRESH SEZ GURGAON
336,INGGG6,GHI SEZ GURGAON
337,INGGI6,"GIL SEZ, GURGAON"
338,INGGL6,LUXOR SEZ GURGAON
339,INGGM6,MIPPL SEZ GURGAON
340,INGGN2,Gurgaon
341,INGGO6,ORIENTCRAFT SEZ GGN
342,INGGP6,SUNWISE SEZ GURGAON
343,INGGS6,SUNCITY SEZ GURGAON
344,INGGU6,URP LTD.
345,INGGV1,GANGAVARAM PORT
346,INGHA1,Ghogha
347,INGHC6,ASF INSIGNIA SEZ
348,INGHPB,Ghasuapara
349,INGHR6,Garhi Harsaru Gurgao
350,INGHWB,Gauhati Steamerghat
351,INGID6,MID PLTD SEZ GURGAON
352,INGIN6,Gandhidham
353,INGJIB,Gunji
354,INGJXB,Ghojadanga
355,INGKJ2,Golakganj Railway St
356,INGKJB,Golakganj LCS
357,INGLY6,APIIC MAHABOOBNAGAR
358,INGMI6,MID PVT LTD.
359,INGNA6,"APPL, SEZ"
360,INGNC6,GIFT SEZ LTD
361,INGNG6,"GIDC, SEZ"
362,INGNL6,LOMA ITPARK GHANSOLI
363,INGNP6,GPRPL SEZ GURGAON
364,INGNR6,LIPL/MARRIPLEMGUNTUR
365,INGNT6,"TCSL, SEZ"
366,INGOI4,Goa
367,INGOP4,Gorakhpur
368,INGPB6,PROGRESSIVE GURGAON
369,INGPR1,Gopalpur
370,INGRD6,Mumbai DP-II
371,INGRL6,GPRL SEZ GURGAON
372,INGRN6,RELIANCE SEZ GURGAON
373,INGRR6,Mumbai DP-I
374,INGRS6,RAHEJA SEZ GURGAON
375,INGRW6,APM ICD BHAMBOLIKHED
376,INGTGB,Gitaldah road
377,INGTI6,INFOSYS TECH. LTD.
378,INGTR2,Guntur
379,INGTS6,SP PVT. LTD.
380,INGTZB,Getandah
381,INGUX4,Guna
382,INGWL4,Gwalior
383,INGWL6,Malanpuri (Gwalior)
384,INGWM4,VIJAYAWADA AIRPORT
385,INHAL1,Haldia
386,INHAN6,HINDAUN ICD KARAULI
387,INHAO6,OPTOINFRA/SEZ/HASSAN
388,INHAS6,HASSAN ICD
389,INHBB6,SDPL SEZ BENGALURU
390,INHBX4,Hubli
391,INHDD6,SIDCUL ICD PANTNAGAR
392,INHEB6,GOCL SEZ BENGALURU
393,INHEI6,INFOSYS/SEZ/MYSORE
394,INHEM6,MEBP/SEZ/BANGALORE
395,INHGLB,Hingalganj
396,INHGT1,Hangarkatta
397,INHIR6,SHB ICD SURAT
398,INHJR4,Khajuraho
399,INHLD2,Haldibari Railway St
400,INHLE6,INFY SEZ BEGURHOBLI
401,INHLIB,Hilli
402,INHND1,HEMNAGAR PORT
403,INHON1,Honavar
404,INHPI6,SANDKHERA ICD KASHIP
405,INHRN1,Harnai
406,INHSF6,KIADBFP SEZ HASSAN
407,INHSP6,KIADBP SEZ HASSAN
408,INHSS4,Hissar
409,INHST6,KIADBT SEZ HASSAN
410,INHSU6,ICD HOSUR
411,INHTSB,Hatisar
412,INHUR6,"M/S RASSI, SEZ"
413,INHWR1,Honawar
414,INHYB6,LHT PARK PVT. LTD.
415,INHYD4,Hyderabad
416,INHYD5,FPO HYDERABAD
417,INHYD6,Hyderabad
418,INHZA1,"HAZIRA, SURAT"
419,INHZA6,"Hazira SEZ, Surat"
420,INIDR4,Indore
421,INIDR6,Indore(EPZ/SEZ)
422,INIGU6,Coimbatore Irugur IC
423,INILP6,Tiruvallur-ILP ICD
424,INIMF4,Imphal
425,ININB6,"CRYSTAL IT PARK, SEZ"
426,ININD6,ICD Pithampur
427,ININI6,IMPETUS INFOTECH SEZ
428,ININN6,INFOSYS SEZ INDORE
429,ININT6,TCS SEZ INDORE
430,INISK4,Nasik
431,INISK6,Nasik
432,INIXA4,Agartala
433,INIXB4,Bagdogra
434,INIXC4,Chandigarh
435,INIXD4,Allahabad
436,INIXE1,Mangalore
437,INIXE4,Mangalore
438,INIXG4,Belgaum
439,INIXH4,Kailashahar
440,INIXI4,Lilabari
441,INIXJ4,Jammu
442,INIXK4,Keshod
443,INIXL4,Leh
444,INIXL5,FPO LEH
445,INIXM4,Madurai
446,INIXM6,MaduraiICD
447,INIXN4,Khowai
448,INIXP4,Pathankot
449,INIXQ4,Kamalpur
450,INIXR4,Ranchi
451,INIXS4,Silchar
452,INIXT4,Pasighat
453,INIXU4,AURANGABAD
454,INIXW4,Jamshedpur
455,INIXW6,Jamshedpur ICD
456,INIXY1,Kandla
457,INIXY4,Kandla
458,INIXY6,Kandla SEZ
459,INIXZ1,Port Blair
460,INIXZ4,Port Blair
461,INJAI4,Jaipur
462,INJAI5,Jaipur
463,INJAI6,Jaipur
464,INJAK1,Jakhau
465,INJAL6,Jalgaon
466,INJAYB,Jayanagar
467,INJBD1,Jafrabad
468,INJBL6,E-COMPLEX SEZ/Amreli
469,INJBNB,JOGBANI
470,INJDA1,Jodia
471,INJDH4,Jodhpur
472,INJDH6,Jodhpur
473,INJGA4,Jamnagar
474,INJGB4,Jagdalpur
475,INJGD1,Jaigad
476,INJGI6,GENPACT SEZ JAIPUR
477,INJHA6,VEDANTA ALU. LTD.
478,INJHOB,Jhulaghat (Pithoraga
479,INJHV6,VEDANTASEZJHARSUGUDA
480,INJIGB,Jaigaon
481,INJJK6,ICD JSL JAJPUR
482,INJKA6,SACHANA ICD VIRAMGAM
483,INJLR4,Jabalpur
484,INJNJ6,NEWFOUND SEZ THANE
485,INJNR4,Nashik-Janori ACC
486,INJNR6,Nashik-Janori ICD
487,INJPGB,Jalpaiguri
488,INJPI6,RIICO SEZ 1 SITAPUR
489,INJPV6,VATIKA SEZ JAIPUR
490,INJPW6,MWC JAIPUR LTD.
491,INJRH4,Jorhat
492,INJSA4,Jaisalmer
493,INJSG6,CONCOR JHARSUGUDA
494,INJSM6,ADANI POWER SEZ
495,INJSZ6,JAIPUR SEZ
496,INJTP1,Jaitapur
497,INJUC6,Jalandhar
498,INJUX6,Basni Jodhpur ICD
499,INJWAB,Jarwa
500,INKAK1,Kakinada
501,INKAK6,Kakinada
502,INKAL1,Kallai
503,INKAP6,Kapadra (Surat)
504,INKAR6,Karur ICD
505,INKAT1,KATTUPALLI PORT
506,INKBC6,ICD HAZIRA
507,INKBT1,Khambhat
508,INKCG6,NSL SEZ PVT. LTD.
509,INKDD6,Karedu
510,INKDI1,Kadmat Island
511,INKDL6,KANDLA SEZ
512,INKDN1,Kodinar(Muldwarka)
513,INKDP1,Kondiapetnam
514,INKELB,Kel Sahar Subdivisio
515,INKGG6,GLOBAL/SEZ/BANGALORE
516,INKGJ1,KARIMGANJ STEAMERGHA
517,INKHD6,ICD Kheda-Dhar
518,INKIW1,Kelwa
519,INKJA6,APP/SEZ/DODAKANAHALI
520,INKJB6,BAGMAN/SEZ/BANGALORE
521,INKJD6,DIVYA/SEZ/BANGALORE
522,INKJG6,GOPALAN/SEZ/BANGALOR
523,INKJH6,HCL/SEZ/BANGALORE
524,INKJIB,PIPRAUN LCS
525,INKJM6,BD SEZ BENGALURU
526,INKJR6,BBREL KUNDALAHALLI
527,INKKR1,Kilakari
528,INKKU6,Kanakpura Jaipur ICD
529,INKLB6,BLUE/SEZ/ERNAKULAM
530,INKLC6,CARB/SEZ/ERNAKULAM
531,INKLG6,SGS/SEZ/ERNAKULAM
532,INKLH4,Kohlapur
533,INKLI6,INFOPARK/SEZ/EKM
534,INKLK6,KINFRA KANAYANNOOR
535,INKLM6,MULTISERVCEKALAMBOLI
536,INKLN6,IT/ITES/SEZ/KALAMBOL
537,INKLS6,SMART CITY SEZ KOCHI
538,INKLY1,Kalyan
539,INKMAB,KULKULI LCS
540,INKMB1,Kumbharu
541,INKMI6,INFO SEZ ERNAKULAM
542,INKML6,DEIPL KURUBARAPALLI
543,INKND1,Kankudy
544,INKNK6,INFOPARK SEZ KORATTY
545,INKNLB,Kunauli
546,INKNU4,Kanpur
547,INKNU5,FPO KANPUR
548,INKNU6,Kanpur
549,INKOC5,Kochi
550,INKOD1,Kodinar
551,INKOI1,Koilthottum
552,INKOK1,Koka
553,INKON1,Konarak
554,INKPK6,CONCOR ICD MIHAN
555,INKRI1,Krishnapatnam
556,INKRK1,Karaikal
557,INKRM6,MADC LTD.
558,INKRN1,Karanja
559,INKRP1,Kiranpani
560,INKRW1,Karwar
561,INKSG1,Kasargod
562,INKSH1,Kelshi
563,INKSP1,Kulasekarapatnam
564,INKTD1,Kotda
565,INKTGB,Katarniyaghat
566,INKTI1,Kiltan Island
567,INKTRB,Kathihar
568,INKTT6,Kota
569,INKTU4,Kota
570,INKTU6,Kota
571,INKTW1,Koteshwar
572,INKTY6,CHEYYAR POCHAMPALLI
573,INKUK1,KOLLAM PORT
574,INKUK6,KSITIL/SEZ/KOLLAM
575,INKUR6,OIIDC SEZ KHURDA
576,INKUU4,Kulu
577,INKVI1,Kavi
578,INKVL1,Kovalam
579,INKVR6,WFPML SEZ KOVVUR
580,INKVT1,Kavaratti Island
581,INKWAB,Khunwa
582,INKWGB,Khowaighat
583,INKWHB,KAKRAHAWA LCS
584,INKXJ2,Karimganj Railway St
585,INKYM6,KOTTAYAM
586,INKZE6,E TECH-I/SEZ/THPURAM
587,INKZP6,E PARK-III/SEZ/T'RAM
588,INKZT6,E PARK-II/SEZ/TPURAM
589,INLCH6,HCL IT SEZ LUCKNOW
590,INLDA4,Malda
591,INLDH6,Ludhiana
592,INLGLB,Lalgola Town
593,INLKO4,Lucknow
594,INLKQB,LAUKAHA LCS
595,INLON6,ICD Loni
596,INLPB6,BBLLP NANAKRAMGUDA
597,INLPC6,CMC LTD.
598,INLPD6,"M/S DLF, SEZ"
599,INLPG6,GCPL SEZ KOKAPET
600,INLPI6,"M/S SUNDEW, SEZ"
601,INLPJ6,RELIANCE SEZ
602,INLPM6,MDL NANAKRAMGUDA
603,INLPR1,Leapuram
604,INLPS6,D NSL IP LTD.
605,INLPW6,WIPRO LTD. HYDERABAD
606,INLTBB,Latu Bazar
607,INLUD6,LUDHIANA
608,INLUH4,Ludhiana
609,INLUH5,FPO LUDHIANA
610,INLUH6,Ludhiana
611,INLWG6,WIPRO LTD.
612,INMAA1,Chennai (Ex Madras)
613,INMAA4,Chennai (Ex Madras)
614,INMAA5,Chennai (Ex Madras)
615,INMAA6,Chennai(EPZ/SEZ)
616,INMAB6,BRIGADE/SEZ/KANNADA
617,INMAE6,EC OF TAMIL NADU
618,INMAH1,Mahe
619,INMAI6,INFOSYS/SEZ/MANGALOR
620,INMAL1,Malpe
621,INMAP1,Masulipatnam
622,INMAQ6,MANGALORE SEZ
623,INMAS6,TRIL INFOPARK LTD.
624,INMBC6,Moradabad(EPZ/SEZ)
625,INMBD6,Pakwara (Moradabad)
626,INMBS6,Madhosingh ICD
627,INMCI1,Minicoi I
628,INMDA1,Magdalla
629,INMDD6,Mandideep ICD
630,INMDE6,APIIC SEZ MEDAK
631,INMDG6,Margao
632,INMDK1,Muldwarka
633,INMDP1,Mandapam
634,INMDU6,KERN ICD MADURAI
635,INMDV1,Mandvi
636,INMDW1,Meadows
637,INMEA6,APIIC-SEZ/ViII-LALGA
638,INMEC6,EC OF TAMIL NADU
639,INMGHB,Mahendraganj
640,INMGR1,Mangrol
641,INMHA1,Mahuva
642,INMHDB,Kotawalighat (Mohedi
643,INMHE1,Mahe
644,INMHGB,Mahurighat
645,INMHN2,Mahisashan Railway S
646,INMKCB,Manikarchar
647,INMKD6,MIKADO SEZ GURGAON
648,INMLI1,Maroli
649,INMLP1,Mallipuram
650,INMLW1,Malwan
651,INMNB2,Munabao Railway Stat
652,INMNR1,Manori
653,INMNUB,Manu
654,INMNW1,Mandwa
655,INMOH4,Mohanbari
656,INMOR2,Moradabad
657,INMPC1,TEST
658,INMPR6,Malanpur ICD
659,INMQK6,KIADB/SEZ/MANGALORE
660,INMRA1,Mora
661,INMRD1,Murad
662,INMREB,Moreh
663,INMRG4,Margao
664,INMRJ6,Miraj
665,INMRM1,Marmagoa
666,INMSR6,RENAIS/SEZ/BANGALORE
667,INMTW1,Metwad
668,INMUC6,SCPL/SEZ/MULUND
669,INMUL6,Mulund ICD
670,INMUN1,Mundra
671,INMUR1,Murad
672,INMUZ6,MODINAGAR ICD
673,INMWA6,ICD Maliwada
674,INMYB1,Mayabandar
675,INMYL6,L AND T/SEZ/MYSORE
676,INMYO6,OPTOINFRA/SEZ/MYSORE
677,INMYQ4,Mysore
678,INMZA4,Muzaffarnagar
679,INMZU4,Muzaffarpur
680,INNAG4,Nagpur
681,INNAG6,Nagpur
682,INNAN1,Nancowrie
683,INNAV1,Navlakhi
684,INNDA6,Noida(EPZ/SEZ)
685,INNDC4,Nanded
686,INNDG1,Nandgaon
687,INNDP1,Tuglakabad
688,INNEE1,Neendakara
689,INNEL1,Nellore
690,INNGB6,BUTIBORI ICD NAGPUR
691,INNGKB,NAGARKATA LCS
692,INNGO6,OSE SEZ NOIDA
693,INNGP6,Nagpur
694,INNGRB,Nepalgunj Road
695,INNGSB,Village Namgaya Ship
696,INNKI6,INDIABULLS NASHIK
697,INNKNB,Namkhana
698,INNML1,New Mangalore
699,INNMTB,Neamati steamer Ghat
700,INNNN6,AMRL SEZ NANGUNERI
701,INNPGB,Nampong
702,INNPT1,Nagapattinam
703,INNRP6,AA LTD.
704,INNSA1,Jawaharlal Nehru (Nh
705,INNSK6,Nasik
706,INNTLB,SHERATHANG LCS
707,INNTVB,THOOTHIBARI LCS
708,INNUR6,Kundli
709,INNVB1,Navabunder(with its
710,INNVP1,Navaspur
711,INNVT1,Nivti
712,INNVY4,Neyveli
713,INNWP1,Newapur
714,INNYP6,APIIC LTD.
715,INOKH1,Okha
716,INOMN4,Osmanabad
717,INOMU1,Old Mundra Port
718,INONJ1,Onjal
719,INPAB4,Bilaspur
720,INPAK6,KSITIL/SEZ/PAYYANOOR
721,INPAN1,Panaji Port
722,INPAO6,HBS SEZ PANOLI
723,INPAP2,Panipat
724,INPAT4,Patna
725,INPAV1,Pipavav (Victor) Por
726,INPAV2,Pipavav (Victor) Por
727,INPBD1,Porbandar
728,INPBD4,Porbandar
729,INPBLB,KAMARDWISA LCS
730,INPDD1,Padubidri Minor Port
731,INPEK6,EKIPL/SEZ/PUNE
732,INPGH4,Pantnagar
733,INPHBB,Phulbari
734,INPID1,Port Indai
735,INPIN1,Pindhara
736,INPIT6,ITL/SEZ/PUNE
737,INPKD6,IGEL SEZ SETTIPALI
738,INPKR6,"ICD PALI, REWARI"
739,INPMB1,Pamban
740,INPMP6,Pimpri
741,INPMT6,MTDCCL/SEZ/PUNE
742,INPNB6,BTSL SEZ PUNE
743,INPNE6,NT PVT. LTD.
744,INPNF5,PATNA FPO
745,INPNI6,MITTAL SEZ PANIPAT
746,INPNJ1,Panjim
747,INPNK6,KLPPL PANKI
748,INPNL6,PERSIPINA SEZ RAIGAD
749,INPNM1,Panambur
750,INPNN1,Ponnani
751,INPNP6,Babarpur
752,INPNQ2,Pune
753,INPNQ4,Pune
754,INPNQ6,SERUM BIO/SEZ/PUNE
755,INPNTB,Panitanki(Naxalbari)
756,INPNU6,TMSF PVT. LTD.
757,INPNV6,ICD Panvel
758,INPNY1,Pondicherry
759,INPNY4,Pondicherry
760,INPNY6,ICD PULICHAPALLAM
761,INPPG6,"Patparganj ICD,DELHI"
762,INPPJ1,Pellet Plant Jetty a
